rank,document,verdict
1,dok298.txt,AC
2,dok358.txt,AC
3,dok314.txt,AC
4,dok344.txt,AC
5,dok235.txt,AC
6,dok379.txt,AC
7,dok352.txt,WA
8,dok376.txt,AC
9,dok149.txt,WA
10,dok293.txt,WA
11,dok169.txt,WA
12,dok399.txt,WA
13,dok338.txt,WA
14,dok375.txt,WA
15,dok216.txt,WA
16,dok166.txt,WA
17,dok190.txt,WA
18,dok340.txt,WA
19,dok123.txt,WA
20,dok52.txt,WA
21,dok228.txt,WA
22,dok233.txt,WA
23,dok301.txt,WA
24,dok151.txt,WA
25,dok310.txt,WA
26,dok197.txt,WA
27,dok175.txt,WA
28,dok394.txt,WA
29,dok360.txt,WA
30,dok347.txt,WA
31,dok369.txt,WA
32,dok374.txt,WA
33,dok135.txt,WA
34,dok64.txt,WA
35,dok187.txt,WA
36,dok191.txt,WA
37,dok326.txt,WA
38,dok313.txt,WA
39,dok117.txt,WA
40,dok46.txt,WA
41,dok273.txt,WA
42,dok315.txt,WA
43,dok372.txt,WA
44,dok140.txt,WA
45,dok69.txt,WA
46,dok367.txt,WA
47,dok210.txt,WA
48,dok368.txt,WA
49,dok288.txt,WA
50,dok350.txt,WA
51,dok142.txt,WA
52,dok71.txt,WA
53,dok184.txt,WA
54,dok198.txt,WA
55,dok339.txt,WA
56,dok200.txt,WA
57,dok139.txt,WA
58,dok68.txt,WA
59,dok349.txt,WA
60,dok104.txt,WA
61,dok283.txt,WA
62,dok307.txt,WA
63,dok33.txt,WA
64,dok161.txt,WA
65,dok336.txt,WA
66,dok395.txt,WA
67,dok318.txt,WA
68,dok253.txt,WA
69,dok382.txt,WA
70,dok370.txt,WA
71,dok103.txt,WA
72,dok32.txt,WA
73,dok402.txt,WA
74,dok172.txt,WA
75,dok271.txt,WA
76,dok170.txt,WA
77,dok327.txt,WA
78,dok178.txt,WA
79,dok214.txt,WA
80,dok365.txt,WA
81,dok373.txt,WA
82,dok134.txt,WA
83,dok63.txt,WA
84,dok137.txt,WA
85,dok66.txt,WA
86,dok213.txt,WA
87,dok141.txt,WA
88,dok168.txt,WA
89,dok70.txt,WA
90,dok2.txt,WA
91,dok73.txt,WA
92,dok128.txt,WA
93,dok229.txt,WA
94,dok348.txt,WA
95,dok57.txt,WA
96,dok150.txt,WA
97,dok393.txt,WA
98,dok154.txt,WA
99,dok275.txt,WA
100,dok208.txt,WA
