rank,document,verdict,Precision,Recall
1,dok124.txt,AC,1.0,0.5
2,dok53.txt,AC,1.0,1.0
3,dok209.txt,WA,0.6666666666666666,1.0
4,dok129.txt,WA,0.5,1.0
5,dok58.txt,WA,0.4,1.0
6,dok353.txt,WA,0.3333333333333333,1.0
7,dok303.txt,WA,0.2857142857142857,1.0
8,dok24.txt,WA,0.25,1.0
9,dok95.txt,WA,0.2222222222222222,1.0
10,dok162.txt,WA,0.2,1.0
11,dok374.txt,WA,0.18181818181818182,1.0
12,dok6.txt,WA,0.16666666666666666,1.0
13,dok77.txt,WA,0.15384615384615385,1.0
14,dok385.txt,WA,0.14285714285714285,1.0
15,dok131.txt,WA,0.13333333333333333,1.0
16,dok60.txt,WA,0.125,1.0
17,dok183.txt,WA,0.11764705882352941,1.0
18,dok394.txt,WA,0.1111111111111111,1.0
19,dok159.txt,WA,0.10526315789473684,1.0
20,dok264.txt,WA,0.1,1.0
21,dok28.txt,WA,0.09523809523809523,1.0
22,dok99.txt,WA,0.09090909090909091,1.0
23,dok188.txt,WA,0.08695652173913043,1.0
24,dok270.txt,WA,0.08333333333333333,1.0
25,dok269.txt,WA,0.08,1.0
26,dok243.txt,WA,0.07692307692307693,1.0
27,dok365.txt,WA,0.07407407407407407,1.0
28,dok393.txt,WA,0.07142857142857142,1.0
29,dok351.txt,WA,0.06896551724137931,1.0
30,dok2.txt,WA,0.06666666666666667,1.0
31,dok73.txt,WA,0.06451612903225806,1.0
32,dok231.txt,WA,0.0625,1.0
33,dok240.txt,WA,0.06060606060606061,1.0
34,dok272.txt,WA,0.058823529411764705,1.0
35,dok331.txt,WA,0.05714285714285714,1.0
36,dok203.txt,WA,0.05555555555555555,1.0
37,dok7.txt,WA,0.05405405405405406,1.0
38,dok78.txt,WA,0.05263157894736842,1.0
39,dok217.txt,WA,0.05128205128205128,1.0
40,dok111.txt,WA,0.05,1.0
41,dok40.txt,WA,0.04878048780487805,1.0
42,dok402.txt,WA,0.047619047619047616,1.0
43,dok165.txt,WA,0.046511627906976744,1.0
44,dok17.txt,WA,0.045454545454545456,1.0
45,dok88.txt,WA,0.044444444444444446,1.0
46,dok248.txt,WA,0.043478260869565216,1.0
47,dok366.txt,WA,0.0425531914893617,1.0
48,dok256.txt,WA,0.041666666666666664,1.0
49,dok113.txt,WA,0.04081632653061224,1.0
50,dok42.txt,WA,0.04,1.0
average precision,0.159968213533177
