rank,document,verdict,Precision,Recall
1,dok264.txt,AC,1.0,0.125
2,dok400.txt,AC,1.0,0.25
3,dok232.txt,WA,0.6666666666666666,0.25
4,dok256.txt,AC,0.75,0.375
5,dok366.txt,AC,0.8,0.5
6,dok364.txt,WA,0.6666666666666666,0.5
7,dok363.txt,WA,0.5714285714285714,0.5
8,dok253.txt,AC,0.625,0.625
9,dok262.txt,WA,0.5555555555555556,0.625
10,dok278.txt,WA,0.5,0.625
11,dok267.txt,AC,0.5454545454545454,0.75
12,dok308.txt,AC,0.5833333333333334,0.875
13,dok269.txt,AC,0.6153846153846154,1.0
14,dok151.txt,WA,0.5714285714285714,1.0
15,dok310.txt,WA,0.5333333333333333,1.0
16,dok166.txt,WA,0.5,1.0
17,dok190.txt,WA,0.47058823529411764,1.0
18,dok301.txt,WA,0.4444444444444444,1.0
19,dok127.txt,WA,0.42105263157894735,1.0
20,dok56.txt,WA,0.4,1.0
21,dok270.txt,WA,0.38095238095238093,1.0
22,dok213.txt,WA,0.36363636363636365,1.0
23,dok192.txt,WA,0.34782608695652173,1.0
24,dok132.txt,WA,0.3333333333333333,1.0
25,dok61.txt,WA,0.32,1.0
26,dok242.txt,WA,0.3076923076923077,1.0
27,dok357.txt,WA,0.2962962962962963,1.0
28,dok18.txt,WA,0.2857142857142857,1.0
29,dok360.txt,WA,0.27586206896551724,1.0
30,dok89.txt,WA,0.26666666666666666,1.0
31,dok197.txt,WA,0.25806451612903225,1.0
32,dok350.txt,WA,0.25,1.0
33,dok186.txt,WA,0.24242424242424243,1.0
34,dok386.txt,WA,0.23529411764705882,1.0
35,dok203.txt,WA,0.22857142857142856,1.0
36,dok217.txt,WA,0.2222222222222222,1.0
37,dok122.txt,WA,0.21621621621621623,1.0
38,dok51.txt,WA,0.21052631578947367,1.0
39,dok138.txt,WA,0.20512820512820512,1.0
40,dok67.txt,WA,0.2,1.0
41,dok352.txt,WA,0.1951219512195122,1.0
42,dok183.txt,WA,0.19047619047619047,1.0
43,dok133.txt,WA,0.18604651162790697,1.0
44,dok187.txt,WA,0.18181818181818182,1.0
45,dok62.txt,WA,0.17777777777777778,1.0
46,dok11.txt,WA,0.17391304347826086,1.0
47,dok82.txt,WA,0.1702127659574468,1.0
48,dok184.txt,WA,0.16666666666666666,1.0
49,dok339.txt,WA,0.16326530612244897,1.0
50,dok383.txt,WA,0.16,1.0
average precision,0.3886412524011063
