rank,document,verdict,Precision,Recall
1,dok240.txt,WA,0.0,0.0
2,dok142.txt,AC,0.5,0.3333333333333333
3,dok71.txt,AC,0.6666666666666666,0.6666666666666666
4,dok343.txt,AC,0.75,1.0
5,dok394.txt,WA,0.6,1.0
6,dok300.txt,WA,0.5,1.0
7,dok180.txt,WA,0.42857142857142855,1.0
8,dok365.txt,WA,0.375,1.0
9,dok333.txt,WA,0.3333333333333333,1.0
10,dok179.txt,WA,0.3,1.0
11,dok181.txt,WA,0.2727272727272727,1.0
12,dok337.txt,WA,0.25,1.0
13,dok386.txt,WA,0.23076923076923078,1.0
14,dok4.txt,WA,0.21428571428571427,1.0
15,dok75.txt,WA,0.2,1.0
16,dok188.txt,WA,0.1875,1.0
17,dok5.txt,WA,0.17647058823529413,1.0
18,dok76.txt,WA,0.16666666666666666,1.0
19,dok330.txt,WA,0.15789473684210525,1.0
20,dok208.txt,WA,0.15,1.0
21,dok384.txt,WA,0.14285714285714285,1.0
22,dok268.txt,WA,0.13636363636363635,1.0
23,dok325.txt,WA,0.13043478260869565,1.0
24,dok102.txt,WA,0.125,1.0
25,dok12.txt,WA,0.12,1.0
26,dok31.txt,WA,0.11538461538461539,1.0
27,dok83.txt,WA,0.1111111111111111,1.0
28,dok20.txt,WA,0.10714285714285714,1.0
29,dok91.txt,WA,0.10344827586206896,1.0
30,dok331.txt,WA,0.1,1.0
31,dok221.txt,WA,0.0967741935483871,1.0
32,dok391.txt,WA,0.09375,1.0
33,dok139.txt,WA,0.09090909090909091,1.0
34,dok68.txt,WA,0.08823529411764706,1.0
35,dok13.txt,WA,0.08571428571428572,1.0
36,dok84.txt,WA,0.08333333333333333,1.0
37,dok342.txt,WA,0.08108108108108109,1.0
38,dok113.txt,WA,0.07894736842105263,1.0
39,dok42.txt,WA,0.07692307692307693,1.0
40,dok389.txt,WA,0.075,1.0
41,dok375.txt,WA,0.07317073170731707,1.0
42,dok371.txt,WA,0.07142857142857142,1.0
43,dok382.txt,WA,0.06976744186046512,1.0
44,dok27.txt,WA,0.06818181818181818,1.0
45,dok98.txt,WA,0.06666666666666667,1.0
46,dok385.txt,WA,0.06521739130434782,1.0
47,dok239.txt,WA,0.06382978723404255,1.0
48,dok246.txt,WA,0.0625,1.0
49,dok80.txt,WA,0.061224489795918366,1.0
50,dok9.txt,WA,0.06,1.0
average precision,0.18328565363309884
