rank,document,verdict
1,dok386.txt,WA
2,dok11.txt,WA
3,dok82.txt,WA
4,dok113.txt,WA
5,dok42.txt,WA
6,dok331.txt,WA
7,dok6.txt,WA
8,dok77.txt,WA
9,dok390.txt,WA
10,dok387.txt,WA
11,dok389.txt,WA
12,dok132.txt,AC
13,dok61.txt,AC
14,dok302.txt,WA
15,dok24.txt,WA
16,dok95.txt,WA
17,dok121.txt,WA
18,dok50.txt,WA
19,dok305.txt,WA
20,dok213.txt,WA
21,dok261.txt,WA
22,dok28.txt,WA
23,dok99.txt,WA
24,dok22.txt,WA
25,dok93.txt,WA
26,dok292.txt,WA
27,dok328.txt,WA
28,dok179.txt,WA
29,dok18.txt,WA
30,dok89.txt,WA
31,dok258.txt,WA
32,dok300.txt,WA
33,dok352.txt,WA
34,dok3.txt,WA
35,dok74.txt,WA
36,dok23.txt,WA
37,dok94.txt,WA
38,dok116.txt,WA
39,dok45.txt,WA
40,dok1.txt,WA
41,dok72.txt,WA
42,dok7.txt,WA
43,dok78.txt,WA
44,dok136.txt,WA
45,dok65.txt,WA
46,dok275.txt,WA
47,dok25.txt,WA
48,dok96.txt,WA
49,dok270.txt,WA
50,dok388.txt,WA
51,dok380.txt,WA
52,dok329.txt,WA
53,dok157.txt,WA
54,dok21.txt,WA
55,dok92.txt,WA
56,dok133.txt,AC
57,dok62.txt,AC
58,dok26.txt,WA
59,dok97.txt,WA
60,dok332.txt,WA
61,dok290.txt,WA
62,dok160.txt,WA
63,dok391.txt,WA
64,dok263.txt,WA
65,dok396.txt,WA
66,dok112.txt,WA
67,dok41.txt,WA
68,dok334.txt,WA
69,dok129.txt,WA
70,dok58.txt,WA
71,dok2.txt,WA
72,dok73.txt,WA
73,dok159.txt,WA
74,dok279.txt,WA
75,dok195.txt,WA
76,dok392.txt,WA
77,dok14.txt,WA
78,dok167.txt,WA
79,dok316.txt,WA
80,dok85.txt,WA
81,dok10.txt,WA
82,dok81.txt,WA
83,dok186.txt,WA
84,dok114.txt,WA
85,dok43.txt,WA
86,dok176.txt,WA
87,dok173.txt,WA
88,dok323.txt,WA
89,dok291.txt,WA
90,dok361.txt,WA
91,dok333.txt,WA
92,dok189.txt,WA
93,dok319.txt,WA
94,dok20.txt,WA
95,dok91.txt,WA
96,dok115.txt,WA
97,dok44.txt,WA
98,dok174.txt,WA
99,dok345.txt,WA
100,dok165.txt,WA
