rank,document,verdict
1,dok365.txt,AC
2,dok402.txt,WA
3,dok212.txt,WA
4,dok248.txt,AC
5,dok247.txt,WA
6,dok110.txt,WA
7,dok39.txt,WA
8,dok253.txt,AC
9,dok218.txt,WA
10,dok398.txt,WA
11,dok148.txt,WA
12,dok145.txt,WA
13,dok149.txt,WA
14,dok276.txt,WA
15,dok362.txt,WA
16,dok225.txt,WA
17,dok285.txt,WA
18,dok357.txt,WA
19,dok228.txt,WA
20,dok161.txt,WA
21,dok400.txt,WA
22,dok368.txt,WA
23,dok192.txt,WA
24,dok335.txt,WA
25,dok369.txt,WA
26,dok222.txt,WA
27,dok153.txt,WA
28,dok289.txt,WA
29,dok147.txt,WA
30,dok215.txt,WA
31,dok242.txt,WA
32,dok256.txt,WA
33,dok307.txt,WA
34,dok366.txt,WA
35,dok255.txt,WA
36,dok108.txt,WA
37,dok37.txt,WA
38,dok251.txt,WA
39,dok205.txt,WA
40,dok249.txt,WA
41,dok252.txt,WA
42,dok367.txt,WA
43,dok198.txt,WA
44,dok105.txt,WA
45,dok34.txt,WA
46,dok237.txt,WA
47,dok217.txt,WA
48,dok172.txt,AC
49,dok245.txt,WA
50,dok123.txt,WA
