rank,document,verdict,Precision,Recall
1,dok24.txt,WA,0.0,0.0
2,dok95.txt,WA,0.0,0.0
3,dok402.txt,AC,0.3333333333333333,0.25
4,dok365.txt,AC,0.5,0.5
5,dok248.txt,AC,0.6,0.75
6,dok269.txt,WA,0.5,0.75
7,dok113.txt,WA,0.42857142857142855,0.75
8,dok42.txt,WA,0.375,0.75
9,dok319.txt,WA,0.3333333333333333,0.75
10,dok189.txt,WA,0.3,0.75
11,dok368.txt,WA,0.2727272727272727,0.75
12,dok331.txt,WA,0.25,0.75
13,dok400.txt,WA,0.23076923076923078,0.75
14,dok148.txt,WA,0.21428571428571427,0.75
15,dok111.txt,WA,0.2,0.75
16,dok40.txt,WA,0.1875,0.75
17,dok145.txt,WA,0.17647058823529413,0.75
18,dok275.txt,WA,0.16666666666666666,0.75
19,dok203.txt,WA,0.15789473684210525,0.75
20,dok146.txt,WA,0.15,0.75
21,dok115.txt,WA,0.14285714285714285,0.75
22,dok44.txt,WA,0.13636363636363635,0.75
23,dok147.txt,WA,0.13043478260869565,0.75
24,dok289.txt,WA,0.125,0.75
25,dok153.txt,WA,0.12,0.75
26,dok193.txt,WA,0.11538461538461539,0.75
27,dok276.txt,WA,0.1111111111111111,0.75
28,dok100.txt,WA,0.10714285714285714,0.75
29,dok29.txt,WA,0.10344827586206896,0.75
30,dok387.txt,WA,0.1,0.75
31,dok149.txt,WA,0.0967741935483871,0.75
32,dok304.txt,WA,0.09375,0.75
33,dok364.txt,WA,0.09090909090909091,0.75
34,dok353.txt,WA,0.08823529411764706,0.75
35,dok334.txt,WA,0.08571428571428572,0.75
36,dok192.txt,AC,0.1111111111111111,1.0
37,dok159.txt,WA,0.10810810810810811,1.0
38,dok17.txt,WA,0.10526315789473684,1.0
39,dok88.txt,WA,0.10256410256410256,1.0
40,dok165.txt,WA,0.1,1.0
41,dok230.txt,WA,0.0975609756097561,1.0
42,dok297.txt,WA,0.09523809523809523,1.0
43,dok296.txt,WA,0.09302325581395349,1.0
44,dok79.txt,WA,0.09090909090909091,1.0
45,dok8.txt,WA,0.08888888888888889,1.0
46,dok240.txt,WA,0.08695652173913043,1.0
47,dok156.txt,WA,0.0851063829787234,1.0
48,dok398.txt,WA,0.08333333333333333,1.0
49,dok243.txt,WA,0.08163265306122448,1.0
50,dok252.txt,WA,0.08,1.0
average precision,0.16866746535268345
