rank,document,verdict
1,dok145.txt,AC
2,dok276.txt,AC
3,dok362.txt,AC
4,dok296.txt,AC
5,dok230.txt,AC
6,dok307.txt,WA
7,dok398.txt,WA
8,dok161.txt,WA
9,dok281.txt,AC
10,dok364.txt,WA
11,dok251.txt,WA
12,dok221.txt,WA
13,dok368.txt,WA
14,dok100.txt,WA
15,dok29.txt,WA
16,dok400.txt,WA
17,dok115.txt,WA
18,dok44.txt,WA
19,dok200.txt,WA
20,dok205.txt,WA
21,dok263.txt,WA
22,dok342.txt,WA
23,dok144.txt,AC
24,dok189.txt,WA
25,dok203.txt,WA
26,dok210.txt,WA
27,dok319.txt,WA
28,dok389.txt,WA
29,dok188.txt,WA
30,dok217.txt,WA
31,dok227.txt,WA
32,dok236.txt,WA
33,dok271.txt,WA
34,dok274.txt,WA
35,dok327.txt,WA
36,dok377.txt,WA
37,dok331.txt,WA
38,dok214.txt,WA
39,dok373.txt,WA
40,dok122.txt,WA
41,dok147.txt,WA
42,dok153.txt,WA
43,dok226.txt,WA
44,dok228.txt,WA
45,dok26.txt,WA
46,dok27.txt,WA
47,dok289.txt,WA
48,dok320.txt,WA
49,dok321.txt,WA
50,dok341.txt,WA
