rank,document,verdict
1,dok253.txt,WA
2,dok101.txt,WA
3,dok30.txt,WA
4,dok385.txt,WA
5,dok15.txt,WA
6,dok86.txt,WA
7,dok117.txt,AC
8,dok46.txt,WA
9,dok319.txt,WA
10,dok189.txt,WA
11,dok390.txt,WA
12,dok19.txt,WA
13,dok90.txt,WA
14,dok161.txt,WA
15,dok111.txt,WA
16,dok40.txt,WA
17,dok368.txt,WA
18,dok172.txt,WA
19,dok275.txt,WA
20,dok393.txt,WA
21,dok400.txt,WA
22,dok365.txt,WA
23,dok3.txt,WA
24,dok74.txt,WA
25,dok213.txt,WA
26,dok269.txt,WA
27,dok224.txt,WA
28,dok27.txt,WA
29,dok98.txt,WA
30,dok179.txt,WA
31,dok115.txt,WA
32,dok44.txt,WA
33,dok202.txt,WA
34,dok11.txt,WA
35,dok82.txt,WA
36,dok234.txt,WA
37,dok227.txt,WA
38,dok346.txt,WA
39,dok209.txt,AC
40,dok176.txt,WA
41,dok18.txt,WA
42,dok89.txt,WA
43,dok308.txt,WA
44,dok288.txt,WA
45,dok267.txt,WA
46,dok353.txt,WA
47,dok196.txt,WA
48,dok171.txt,WA
49,dok177.txt,WA
50,dok159.txt,WA
51,dok2.txt,WA
52,dok73.txt,WA
53,dok186.txt,AC
54,dok155.txt,AC
55,dok125.txt,AC
56,dok54.txt,WA
57,dok351.txt,WA
58,dok374.txt,WA
59,dok364.txt,WA
60,dok304.txt,WA
61,dok188.txt,WA
62,dok218.txt,WA
63,dok237.txt,WA
64,dok231.txt,WA
65,dok325.txt,WA
66,dok268.txt,WA
67,dok20.txt,WA
68,dok91.txt,WA
69,dok129.txt,WA
70,dok58.txt,WA
71,dok203.txt,WA
72,dok272.txt,WA
73,dok243.txt,WA
74,dok170.txt,WA
75,dok190.txt,WA
76,dok164.txt,WA
77,dok287.txt,WA
78,dok12.txt,WA
79,dok83.txt,WA
80,dok183.txt,WA
81,dok240.txt,WA
82,dok79.txt,WA
83,dok8.txt,WA
84,dok165.txt,WA
85,dok17.txt,WA
86,dok88.txt,WA
87,dok303.txt,WA
88,dok356.txt,WA
89,dok266.txt,WA
90,dok16.txt,WA
91,dok87.txt,WA
92,dok206.txt,AC
93,dok252.txt,WA
94,dok130.txt,WA
95,dok59.txt,WA
96,dok388.txt,WA
97,dok316.txt,WA
98,dok14.txt,WA
99,dok167.txt,WA
100,dok85.txt,WA
