rank,document,verdict,Precision,Recall
1,dok157.txt,WA,0.0,0.0
2,dok290.txt,WA,0.0,0.0
3,dok21.txt,WA,0.0,0.0
4,dok92.txt,WA,0.0,0.0
5,dok25.txt,WA,0.0,0.0
6,dok96.txt,WA,0.0,0.0
7,dok335.txt,AC,0.14285714285714285,0.2
8,dok380.txt,WA,0.125,0.2
9,dok261.txt,WA,0.1111111111111111,0.2
10,dok140.txt,AC,0.2,0.4
11,dok69.txt,AC,0.2727272727272727,0.6
12,dok279.txt,WA,0.25,0.6
13,dok302.txt,WA,0.23076923076923078,0.6
14,dok1.txt,WA,0.21428571428571427,0.6
15,dok72.txt,WA,0.2,0.6
16,dok394.txt,AC,0.25,0.8
17,dok121.txt,WA,0.23529411764705882,0.8
18,dok50.txt,WA,0.2222222222222222,0.8
19,dok263.txt,WA,0.21052631578947367,0.8
20,dok26.txt,WA,0.2,0.8
21,dok97.txt,WA,0.19047619047619047,0.8
22,dok108.txt,WA,0.18181818181818182,0.8
23,dok37.txt,WA,0.17391304347826086,0.8
24,dok342.txt,WA,0.16666666666666666,0.8
25,dok274.txt,WA,0.16,0.8
26,dok24.txt,WA,0.15384615384615385,0.8
27,dok95.txt,WA,0.14814814814814814,0.8
28,dok114.txt,WA,0.14285714285714285,0.8
29,dok43.txt,WA,0.13793103448275862,0.8
30,dok154.txt,AC,0.16666666666666666,1.0
31,dok113.txt,WA,0.16129032258064516,1.0
32,dok42.txt,WA,0.15625,1.0
33,dok116.txt,WA,0.15151515151515152,1.0
34,dok45.txt,WA,0.14705882352941177,1.0
35,dok197.txt,WA,0.14285714285714285,1.0
36,dok112.txt,WA,0.1388888888888889,1.0
37,dok41.txt,WA,0.13513513513513514,1.0
38,dok331.txt,WA,0.13157894736842105,1.0
39,dok361.txt,WA,0.1282051282051282,1.0
40,dok107.txt,WA,0.125,1.0
41,dok36.txt,WA,0.12195121951219512,1.0
42,dok390.txt,WA,0.11904761904761904,1.0
43,dok227.txt,WA,0.11627906976744186,1.0
44,dok258.txt,WA,0.11363636363636363,1.0
45,dok142.txt,WA,0.1111111111111111,1.0
46,dok71.txt,WA,0.10869565217391304,1.0
47,dok165.txt,WA,0.10638297872340426,1.0
48,dok17.txt,WA,0.10416666666666667,1.0
49,dok88.txt,WA,0.10204081632653061,1.0
50,dok328.txt,WA,0.1,1.0
51,dok385.txt,WA,0.09803921568627451,1.0
52,dok359.txt,WA,0.09615384615384616,1.0
53,dok332.txt,WA,0.09433962264150944,1.0
54,dok303.txt,WA,0.09259259259259259,1.0
55,dok360.txt,WA,0.09090909090909091,1.0
56,dok292.txt,WA,0.08928571428571429,1.0
57,dok22.txt,WA,0.08771929824561403,1.0
58,dok93.txt,WA,0.08620689655172414,1.0
59,dok350.txt,WA,0.0847457627118644,1.0
60,dok305.txt,WA,0.08333333333333333,1.0
61,dok300.txt,WA,0.08196721311475409,1.0
62,dok187.txt,WA,0.08064516129032258,1.0
63,dok20.txt,WA,0.07936507936507936,1.0
64,dok91.txt,WA,0.078125,1.0
65,dok115.txt,WA,0.07692307692307693,1.0
66,dok44.txt,WA,0.07575757575757576,1.0
67,dok209.txt,WA,0.07462686567164178,1.0
68,dok248.txt,WA,0.07352941176470588,1.0
69,dok282.txt,WA,0.07246376811594203,1.0
70,dok396.txt,WA,0.07142857142857142,1.0
71,dok355.txt,WA,0.07042253521126761,1.0
72,dok387.txt,WA,0.06944444444444445,1.0
73,dok102.txt,WA,0.0684931506849315,1.0
74,dok31.txt,WA,0.06756756756756757,1.0
75,dok224.txt,WA,0.06666666666666667,1.0
76,dok265.txt,WA,0.06578947368421052,1.0
77,dok322.txt,WA,0.06493506493506493,1.0
78,dok159.txt,WA,0.0641025641025641,1.0
79,dok371.txt,WA,0.06329113924050633,1.0
80,dok299.txt,WA,0.0625,1.0
81,dok2.txt,WA,0.06172839506172839,1.0
82,dok73.txt,WA,0.06097560975609756,1.0
83,dok103.txt,WA,0.060240963855421686,1.0
84,dok32.txt,WA,0.05952380952380952,1.0
85,dok397.txt,WA,0.058823529411764705,1.0
86,dok4.txt,WA,0.05813953488372093,1.0
87,dok75.txt,WA,0.05747126436781609,1.0
88,dok230.txt,WA,0.056818181818181816,1.0
89,dok333.txt,WA,0.056179775280898875,1.0
90,dok372.txt,WA,0.05555555555555555,1.0
91,dok176.txt,WA,0.054945054945054944,1.0
92,dok343.txt,WA,0.05434782608695652,1.0
93,dok291.txt,WA,0.053763440860215055,1.0
94,dok119.txt,WA,0.05319148936170213,1.0
95,dok48.txt,WA,0.05263157894736842,1.0
96,dok378.txt,WA,0.052083333333333336,1.0
97,dok111.txt,WA,0.05154639175257732,1.0
98,dok40.txt,WA,0.05102040816326531,1.0
99,dok213.txt,WA,0.050505050505050504,1.0
100,dok136.txt,WA,0.05,1.0
average precision,0.10449068289445546
