rank,document,verdict
1,dok154.txt,AC
2,dok140.txt,AC
3,dok69.txt,AC
4,dok335.txt,AC
5,dok248.txt,WA
6,dok394.txt,AC
7,dok171.txt,WA
8,dok346.txt,WA
9,dok200.txt,WA
10,dok209.txt,WA
11,dok201.txt,WA
12,dok224.txt,WA
13,dok227.txt,WA
14,dok24.txt,WA
15,dok95.txt,WA
16,dok117.txt,WA
17,dok46.txt,WA
18,dok236.txt,WA
19,dok385.txt,WA
20,dok111.txt,WA
21,dok40.txt,WA
22,dok254.txt,WA
23,dok165.txt,WA
24,dok402.txt,WA
25,dok17.txt,WA
26,dok88.txt,WA
27,dok207.txt,WA
28,dok141.txt,WA
29,dok70.txt,WA
30,dok241.txt,WA
31,dok204.txt,WA
32,dok393.txt,WA
33,dok115.txt,WA
34,dok44.txt,WA
35,dok142.txt,WA
36,dok71.txt,WA
37,dok114.txt,WA
38,dok43.txt,WA
39,dok108.txt,WA
40,dok37.txt,WA
41,dok365.txt,WA
42,dok243.txt,WA
43,dok122.txt,WA
44,dok51.txt,WA
45,dok101.txt,WA
46,dok30.txt,WA
47,dok274.txt,WA
48,dok230.txt,WA
49,dok303.txt,WA
50,dok250.txt,WA
