rank,document,verdict
1,dok183.txt,WA
2,dok232.txt,WA
3,dok248.txt,WA
4,dok242.txt,WA
5,dok357.txt,WA
6,dok107.txt,WA
7,dok36.txt,WA
8,dok363.txt,WA
9,dok190.txt,WA
10,dok301.txt,WA
11,dok264.txt,AC
12,dok270.txt,WA
13,dok267.txt,WA
14,dok308.txt,WA
15,dok203.txt,WA
16,dok402.txt,WA
17,dok186.txt,WA
18,dok197.txt,WA
19,dok233.txt,WA
20,dok172.txt,WA
21,dok393.txt,WA
22,dok204.txt,WA
23,dok312.txt,WA
24,dok136.txt,WA
25,dok65.txt,WA
26,dok269.txt,WA
27,dok245.txt,WA
28,dok108.txt,WA
29,dok37.txt,WA
30,dok400.txt,AC
31,dok198.txt,WA
32,dok335.txt,WA
33,dok177.txt,WA
34,dok262.txt,WA
35,dok278.txt,WA
36,dok256.txt,AC
37,dok366.txt,AC
38,dok373.txt,WA
39,dok155.txt,WA
40,dok318.txt,WA
41,dok161.txt,WA
42,dok399.txt,WA
43,dok148.txt,WA
44,dok285.txt,WA
45,dok364.txt,WA
46,dok350.txt,WA
47,dok253.txt,AC
48,dok215.txt,WA
49,dok178.txt,WA
50,dok288.txt,WA
